100 100
0 65 6.975266670449582
1 27 4.926250038458093
1 91 -9.519982582086023
2 9 3.6351274685628336
4 43 -3.9484706423199096
4 91 9.22129651462577
6 99 -6.482209447972636
6 69 3.8492642094052094
7 33 -5.659865253240133
7 86 4.594538635335084
7 74 -7.771850038744552
7 45 1.9790982684141447
8 51 -7.955315070805109
9 2 3.6351274685628336
9 42 -4.349787463245775
10 86 9.465544627473676
10 55 9.554374205355476
10 45 -4.922741045710588
10 14 4.231229068945224
12 65 7.507981086754995
14 10 4.231229068945224
14 93 6.300045015623429
15 33 -6.816059556433487
15 82 7.598341701579955
15 31 2.3902799553664327
17 36 -7.929399744444911
17 90 -1.6729411138259422
19 94 7.4145165552513745
20 27 -7.832099194964838
22 96 1.7491628690456835
24 74 4.336739971967816
25 44 3.485348371047479
26 67 0.8570988875546686
26 43 -6.679284456643182
27 1 4.926250038458093
27 20 -7.832099194964838
31 15 2.3902799553664327
32 61 6.412954636507603
33 7 -5.659865253240133
33 15 -6.816059556433487
34 47 6.595307994315231
36 17 -7.929399744444911
36 74 -5.692487397366294
37 80 -0.6098125346948606
39 77 5.8568628709534405
40 87 -5.541680350868665
42 9 -4.349787463245775
42 78 -2.8390875714614605
43 4 -3.9484706423199096
43 54 2.22598415685011
43 26 -6.679284456643182
44 25 3.485348371047479
45 7 1.9790982684141447
45 10 -4.922741045710588
46 70 3.4553575596087427
46 73 -2.7638347572300486
47 34 6.595307994315231
48 73 3.0738627978526836
49 73 -7.810027171665959
51 8 -7.955315070805109
53 63 -9.779804688903495
54 43 2.22598415685011
55 10 9.554374205355476
56 62 9.534179359588304
57 93 7.431562925691168
58 89 -5.012626943577687
59 61 -8.127613263352139
61 32 6.412954636507603
61 59 -8.127613263352139
62 56 9.534179359588304
63 53 -9.779804688903495
64 65 6.72223547553547
65 0 6.975266670449582
65 64 6.72223547553547
65 12 7.507981086754995
67 26 0.8570988875546686
68 78 -2.3067927733442106
69 6 3.8492642094052094
70 46 3.4553575596087427
73 48 3.0738627978526836
73 49 -7.810027171665959
73 98 8.51026855264633
73 77 2.5459331920730364
73 46 -2.7638347572300486
74 36 -5.692487397366294
74 7 -7.771850038744552
74 24 4.336739971967816
75 97 1.985170816256387
76 87 -4.366845353294774
77 39 5.8568628709534405
77 73 2.5459331920730364
77 79 8.603683592015994
78 68 -2.3067927733442106
78 42 -2.8390875714614605
79 77 8.603683592015994
80 37 -0.6098125346948606
80 85 -8.213106816501746
82 15 7.598341701579955
85 80 -8.213106816501746
85 89 -2.772768351097799
86 7 4.594538635335084
86 10 9.465544627473676
87 40 -5.541680350868665
87 76 -4.366845353294774
89 85 -2.772768351097799
89 58 -5.012626943577687
90 17 -1.6729411138259422
91 1 -9.519982582086023
91 98 -0.9585124591488441
91 4 9.22129651462577
93 57 7.431562925691168
93 14 6.300045015623429
94 19 7.4145165552513745
96 22 1.7491628690456835
97 75 1.985170816256387
98 73 8.51026855264633
98 91 -0.9585124591488441
99 6 -6.482209447972636
